Date,Number of patient,Treatment,Drug,Insurance avg Cost,Patient avg Cost
4/13/2016,164,T100,D45,423,200
4/13/2016,70,T28,D68,347,581
4/13/2016,25,T3,D47,589,204
4/13/2016,37,T64,D54,631,578
4/13/2016,174,T73,D27,455,323
4/13/2016,9,T47,D93,684,784
4/13/2016,99,T55,D88,536,776
4/13/2016,59,T18,D35,759,261
4/13/2016,120,T43,D6,631,237
4/13/2016,113,T34,D74,614,545
4/13/2016,71,T88,D22,624,693
4/13/2016,178,T8,D70,635,654
4/13/2016,77,T68,D50,598,464
4/13/2016,113,T32,D55,624,524
4/13/2016,72,T75,D80,701,615
4/13/2016,73,T29,D31,767,455
4/13/2016,8,T65,D85,306,405
4/13/2016,134,T1,D39,537,276
4/13/2016,113,T55,D37,779,431
4/13/2016,174,T98,D24,780,765
4/13/2016,65,T64,D31,204,283
4/13/2016,136,T40,D87,751,345
4/13/2016,82,T50,D37,682,443
4/13/2016,35,T45,D20,373,369
4/13/2016,57,T9,D28,235,582
4/13/2016,119,T23,D6,793,489
4/13/2016,156,T68,D8,323,657
4/13/2016,161,T63,D12,711,316
4/13/2016,42,T61,D82,221,578
4/13/2016,122,T49,D1,611,700
4/13/2016,41,T62,D70,560,773
4/13/2016,65,T25,D68,758,255
4/13/2016,61,T67,D50,554,493
4/13/2016,176,T40,D4,613,391
4/13/2016,138,T22,D24,330,340
4/13/2016,60,T35,D5,409,394
4/13/2016,168,T44,D67,241,433
4/13/2016,18,T87,D28,777,710
4/13/2016,27,T98,D100,523,396
4/13/2016,165,T87,D29,262,226
4/13/2016,89,T62,D26,617,205
4/13/2016,18,T67,D63,264,202
4/13/2016,22,T92,D18,477,795
4/13/2016,187,T79,D14,318,345
4/13/2016,31,T10,D73,676,764
4/13/2016,106,T25,D76,237,502
4/13/2016,54,T8,D90,492,617
4/13/2016,181,T87,D76,732,313
4/13/2016,14,T100,D50,588,358
4/13/2016,116,T42,D18,292,513
4/13/2016,24,T38,D58,658,602
4/13/2016,49,T40,D63,228,353
4/13/2016,1,T44,D87,272,434
4/13/2016,182,T55,D82,702,413
4/13/2016,118,T79,D84,579,623
4/13/2016,105,T22,D56,493,315
4/13/2016,165,T84,D59,201,572
4/13/2016,25,T14,D97,233,485
4/13/2016,79,T49,D94,618,367
4/13/2016,173,T72,D31,721,415
4/13/2016,146,T25,D7,593,329
4/13/2016,71,T40,D35,524,758
4/13/2016,130,T16,D13,573,627
4/13/2016,185,T93,D62,441,471
